14/03/2025 12:35:34 |  16300 | DEBUG    | _make_request                  | https://api.superlogica.net:443 "GET /v2/condor/contabancos/index?exibirDadosAgencia=1&exibirContasFechadas=1&exibirDadosBanco=1&exibirContasAtivas=1&idCondominio=65 HTTP/11" 200 None
14/03/2025 12:35:34 |  16300 | DEBUG    | _new_conn                      | Starting new HTTPS connection (1): api.superlogica.net:443
14/03/2025 12:35:36 |  16300 | DEBUG    | _make_request                  | https://api.superlogica.net:443 "PUT /v2/condor/contabancos/index?idCondominio=65&ID_CONTABANCO_CB=147&ID_BANCO_BANC=10&ST_NUMERO_AGB=0706&ST_CONTA_CB=99300-3&NM_ORDEM_CB=2&FL_REMUNERARSOBRESALDO_CB=1&FL_COMGESTAOADM_CB=1&ST_CNPJREMESSA_CB=42181669000177&ST_LOCALPAGAMENTO_CAR=Pag%C3%A1vel%20em%20qualquer%20banco%20at%C3%A9%2059%20dias%20do%20vencimento.&ST_INFOCEDENTE_CB=ESTASA%20-%20Emp%20de%20Serv%20Tec%20e%20Adm%20Ltda%20%20CNPJ:%2042.181.669/0001-77 HTTP/11" 200 None
14/03/2025 12:35:36 |  16300 | DEBUG    | _new_conn                      | Starting new HTTPS connection (1): api.superlogica.net:443
14/03/2025 12:35:37 |  16300 | DEBUG    | _make_request                  | https://api.superlogica.net:443 "GET /v2/condor/configuracoes?idCondominio=65 HTTP/11" 200 None
14/03/2025 12:35:37 |  16300 | INFO     | atualizar_mascara_padrao       | Todos parametros do condomínio 603 atualizados corretamente.
14/03/2025 12:35:37 |  16300 | DEBUG    | _new_conn                      | Starting new HTTPS connection (1): api.superlogica.net:443
14/03/2025 12:35:38 |  16300 | DEBUG    | _make_request                  | https://api.superlogica.net:443 "GET /v2/condor/configuracoes?idCondominio=66 HTTP/11" 200 None
14/03/2025 12:35:38 |  16300 | DEBUG    | _new_conn                      | Starting new HTTPS connection (1): api.superlogica.net:443
14/03/2025 12:35:38 |  16300 | DEBUG    | _make_request                  | https://api.superlogica.net:443 "PUT /v2/condor/condominios?ID_CONDOMINIO_COND=66&ST_ENDERECO_COND=Rua%20Almte%20Tamandare,%2038&ST_COMPLEMENTO_COND= HTTP/11" 200 None
14/03/2025 12:35:38 |  16300 | INFO     | atualizar_mascara_padrao       | Endereço atualizado com sucesso!
14/03/2025 12:35:38 |  16300 | DEBUG    | _new_conn                      | Starting new HTTPS connection (1): api.superlogica.net:443
14/03/2025 12:35:38 |  16300 | DEBUG    | _make_request                  | https://api.superlogica.net:443 "POST /v2/condor/configuracoes?idCondominio=66&DISPONIBILIZAR_COMUNICADO_RESPONSAVELLEGAL=1&ARRECADACAO_SIMULAR=1&ALERTA_PENDENTE=1 HTTP/11" 200 None
14/03/2025 12:35:38 |  16300 | DEBUG    | _new_conn                      | Starting new HTTPS connection (1): api.superlogica.net:443
14/03/2025 12:35:39 |  16300 | DEBUG    | _make_request                  | https://api.superlogica.net:443 "PUT /v2/condor/condominios?ID_CONDOMINIO_COND=66 HTTP/11" 200 None
14/03/2025 12:35:39 |  16300 | DEBUG    | _new_conn                      | Starting new HTTPS connection (1): api.superlogica.net:443
14/03/2025 12:35:39 |  16300 | DEBUG    | _make_request                  | https://api.superlogica.net:443 "GET /v2/condor/contabancos/index?exibirDadosAgencia=1&exibirContasFechadas=1&exibirDadosBanco=1&exibirContasAtivas=1&idCondominio=66 HTTP/11" 200 None
14/03/2025 12:35:39 |  16300 | DEBUG    | _new_conn                      | Starting new HTTPS connection (1): api.superlogica.net:443
